word,valence,arousal,dominance,aoa,category
balpen,4.25,3.38,3.69,5.77,N
balsem,4.44,2.83,3.67,8.35,N
bamboe,4.55,3.03,4.28,7.26,N
banaal,3.08,3.40,3.33,11.31,N
band,4.72,3.97,4.17,5.74,N
bandiet,2.52,5.34,4.72,6.48,N
bangerik,2.53,3.75,2.30,6.23,N
banjo,4.56,4.11,3.52,9.27,N
bank,4.28,2.97,4.41,5.03,N
bankroet,1.92,3.55,3.14,9.06,N
bannen,2.81,4.52,4.62,8.90,V
bar,4.63,4.48,4.09,7.81,N
barak,3.31,3.53,3.89,9.22,N
barbaar,2.34,5.08,5.02,9.26,N
baren,4.47,5.53,4.64,9.16,V
barok,4.38,3.56,4.21,11.67,A
baron,4.06,3.68,5.16,8.26,N
bars,3.29,4.04,4.10,10.08,A
barst,2.92,4.22,3.86,6.45,N
barsten,2.92,5.05,3.75,7.00,V
bas,4.45,3.73,4.50,8.63,N
basketbal,4.80,5.48,4.22,5.87,N
bast,4.06,3.27,4.36,8.67,N
bastaard,2.72,4.21,3.98,10.42,N
baten,4.82,4.14,4.35,9.57,V
bazaar,4.07,4.50,3.86,9.58,N
bazig,2.50,5.38,5.39,7.13,A
bazooka,2.65,5.84,5.87,9.61,N
bed,5.11,2.34,3.88,3.19,N
bedaard,4.40,2.70,3.53,8.87,A
bede,4.02,3.40,3.27,9.21,N
bedeesd,3.48,2.64,2.79,9.63,A
bedelaar,2.45,3.42,2.34,7.42,N
bedreiging,2.13,5.53,5.28,8.32,N
bedreven,5.38,5.17,5.30,9.58,A
bedrieglijk,2.27,4.42,4.00,8.77,A
bedrijvig,4.95,5.56,4.92,9.87,A
bedroefd,2.28,3.36,3.14,6.97,A
bedroefdheid,2.27,3.28,3.16,8.03,N
bedrog,1.91,4.97,4.14,8.19,N
beek,4.53,3.25,3.57,6.23,N
beeld,4.41,3.25,4.33,5.77,N
beeldschoon,6.47,4.50,5.17,7.32,A
been,4.25,3.92,4.00,4.00,N
beer,4.33,5.06,5.45,4.39,N
beerput,2.42,3.58,4.14,8.84,N
beest,3.48,5.22,5.17,4.42,N
beet,3.28,4.48,4.55,5.58,N
begeerte,4.87,5.00,4.52,10.90,N
begrafenis,1.72,2.80,4.14,6.84,N
begrijpend,5.48,3.83,4.61,7.87,A
behangpapier,4.14,2.97,3.38,7.19,N
behoeftig,3.08,4.19,3.13,9.65,A
behoorlijk,4.84,4.20,4.48,8.35,A
behulpzaam,5.84,4.56,4.53,7.45,A
beige,3.95,3.13,3.33,7.35,A
beïnvloedbaar,2.92,3.61,2.89,9.00,A
beitel,3.80,4.08,4.78,7.68,N
bek,3.28,4.03,4.33,5.19,N
beker,4.53,3.52,4.17,4.39,N
bekken,4.00,4.14,3.98,9.52,N
bekommerd,4.28,4.35,3.58,9.45,A
bekrompen,2.25,3.48,3.06,10.00,A
bekwaam,5.67,4.36,5.25,9.81,A
bel,4.20,4.27,4.05,4.71,N
belaagd,2.61,4.76,3.49,9.77,A
belabberd,2.36,3.13,2.95,9.26,A
belangrijk,5.41,4.88,5.25,6.48,A
belasting,2.61,4.14,4.66,9.23,N
belazerd,2.06,4.58,3.61,10.06,A
beledigd,2.38,4.53,4.09,7.71,A
belediging,2.17,4.72,4.55,8.16,N
beleefd,5.72,3.59,4.36,6.10,A
belezen,4.77,4.02,4.80,9.63,A
belg,4.48,3.84,3.83,6.07,N
bellen,4.56,4.63,4.00,5.23,V
belonen,5.78,4.95,4.92,5.84,V
bemind,5.91,4.44,4.71,9.32,A
bemoeiziek,2.13,5.05,4.06,10.00,A
benauwd,2.45,4.45,3.39,8.19,A
bende,2.78,5.06,4.91,6.39,N
benieuwd,5.33,4.81,4.41,7.16,A
beren,4.08,4.98,5.13,5.03,V
berg,4.45,3.42,5.11,5.00,N
berk,4.34,3.16,3.92,7.24,N
berm,3.95,3.20,3.60,7.61,N
beroemd,5.20,4.77,5.05,7.00,A
beroerd,2.42,3.56,3.27,8.35,A
berouw,3.52,3.72,3.81,9.10,N
berustend,4.40,2.81,3.78,10.13,A
berusting,4.17,2.66,3.80,10.26,N
bes,4.58,3.36,3.17,5.13,N
beschaafd,5.42,3.50,4.50,8.48,A
beschaamd,2.56,3.70,3.05,7.71,A
beschadigd,2.42,4.05,3.31,7.29,A
bescheiden,5.05,2.84,3.52,8.48,A
beschermen,5.55,5.02,4.97,6.26,V
bescherming,5.59,4.45,4.94,6.74,N
beschuit,4.44,3.06,3.17,5.55,N
beslissend,4.78,4.95,5.28,8.32,A
besluiteloos,2.59,3.39,2.52,9.06,A
besmet,2.11,4.19,3.91,7.65,A
besmeurd,2.66,3.95,3.52,8.19,A
bestendig,5.00,3.89,4.84,9.65,A
bestrijden,3.89,5.57,5.25,8.39,V
betamelijk,4.42,3.49,3.93,10.29,A
beter,5.42,4.17,4.86,4.74,A
beton,3.77,2.70,5.28,6.74,N
betrouwbaar,6.22,3.91,5.02,8.03,A
beu,2.73,3.57,3.82,7.00,A
beugel,3.20,3.34,3.89,7.84,N
beuk,3.81,4.02,4.55,6.87,N
beuken,3.19,5.31,5.00,8.16,V
beul,2.03,5.17,5.52,8.23,N
beurs,4.41,4.03,4.17,9.32,N
beurt,4.20,4.06,4.03,5.42,N
bevel,2.94,4.97,5.46,7.00,N
beven,2.81,4.70,3.00,6.68,V
bevooroordeeld,2.45,4.00,3.66,10.32,A
bevreesd,2.59,4.84,3.52,8.40,A
