word,valence,arousal,dominance,aoa,category
dof,3.02,2.70,3.08,7.19,A
dogma,3.40,3.29,4.73,12.65,N
dok,4.02,3.59,4.05,9.00,N
dokken,3.06,4.53,3.89,8.42,V
dokter,4.47,4.75,5.00,4.19,N
dol,4.70,5.23,4.16,6.97,A
dolblij,6.39,5.89,5.30,6.48,A
dolfijn,5.34,4.78,3.83,4.87,N
dolgraag,6.06,5.44,4.97,6.97,A
dolk,2.81,4.53,5.21,7.61,N
dollar,4.63,3.75,4.30,8.35,N
dollen,5.20,5.27,4.16,7.50,V
dom,2.22,3.11,2.69,4.77,A
dominant,3.06,5.22,6.16,9.26,A
dominerend,2.83,5.45,6.11,9.90,A
domoor,2.50,3.22,2.75,6.55,N
donder,3.11,5.47,5.22,5.55,N
donker,3.34,3.50,4.33,4.10,A
dons,5.13,2.58,2.91,7.10,N
dood,1.38,2.13,5.20,5.39,A
doodgaan,1.39,3.67,3.89,5.65,V
doodmoe,2.16,1.75,3.23,6.77,A
doods,1.72,2.52,4.11,7.90,A
doodsangst,1.50,5.95,4.00,8.03,N
doodsbang,1.53,5.53,3.56,7.10,A
doodshoofd,2.09,3.58,4.68,7.13,N
doodskist,1.78,2.30,4.33,7.26,N
doodsstrijd,1.55,6.20,5.64,9.23,N
doodstil,3.11,1.67,3.69,6.94,A
doodstraf,1.53,4.91,5.53,8.61,N
doodziek,1.33,3.66,3.34,6.94,A
doof,2.36,2.78,3.14,5.77,A
doofpot,2.50,2.84,3.47,10.29,N
dooi,4.09,3.03,3.39,7.48,N
doolhof,3.86,4.23,4.11,6.06,N
doop,4.44,3.39,3.80,6.19,N
doorbraak,5.53,5.31,5.19,9.16,N
doorn,2.77,3.95,4.64,6.61,N
doortastend,4.92,4.92,5.09,10.65,A
doorzetten,5.61,5.48,5.59,7.71,V
doorzettend,5.63,5.47,5.69,8.80,A
doos,4.02,3.03,3.53,4.42,N
dop,3.98,3.16,3.67,5.35,N
dope,3.14,4.72,4.52,12.30,N
dopen,4.22,3.89,3.94,6.19,V
doping,2.33,4.78,4.00,10.77,N
dor,2.67,2.60,3.14,7.87,A
dorp,4.33,3.30,3.67,5.45,N
dorst,3.20,4.21,4.23,3.81,N
douche,5.20,3.64,3.91,5.00,N
douchen,5.13,4.28,4.09,5.13,V
doven,3.61,3.68,3.88,6.35,V
down,2.25,2.44,2.86,10.23,A
dozijn,4.16,3.48,4.00,8.52,N
draad,4.03,3.33,3.58,5.48,N
draaglijk,4.42,3.55,3.83,8.74,N
draai,4.05,4.45,3.83,5.29,N
draaien,4.13,4.84,3.75,4.65,V
draak,3.56,5.41,5.58,5.06,N
draf,4.28,4.82,4.16,7.67,N
dragen,4.20,4.73,4.06,5.06,V
drang,3.42,5.23,4.94,7.68,N
drank,4.20,4.20,4.41,5.65,N
dreef,4.24,3.63,3.98,8.61,N
dreigen,2.22,5.44,4.98,7.81,V
drek,2.65,3.26,3.54,8.25,N
drempel,3.53,3.41,3.95,6.55,N
dreun,2.77,5.30,5.11,6.97,N
dreunen,2.94,5.19,4.81,8.20,V
driftig,2.64,5.75,5.02,8.10,A
drijfzand,2.59,4.09,4.81,7.94,N
drijven,4.30,3.53,3.78,6.55,V
drinken,4.78,4.45,4.25,3.26,V
droef,2.38,3.05,3.08,7.00,A
droefheid,2.16,3.22,3.13,7.58,N
droevig,2.25,3.17,3.14,6.00,A
drogen,4.36,3.88,3.78,5.94,V
dromen,5.64,3.42,3.83,4.55,V
dronkaard,2.33,4.52,3.20,8.52,N
droog,4.16,3.13,3.69,4.65,A
droom,5.61,3.77,4.56,5.03,N
drop,4.34,3.34,3.84,6.06,N
drugs,2.30,5.05,4.50,9.71,N
druif,4.83,3.23,3.30,5.10,N
druk,3.23,5.03,4.83,6.03,N
drukken,3.73,4.69,4.44,5.52,V
druppen,3.57,3.87,3.43,6.29,V
dubbel,4.25,3.70,4.13,5.90,A
dubieus,2.85,4.02,3.81,11.24,A
duf,2.85,2.25,2.94,7.67,A
duiden,4.14,4.27,4.30,8.77,V
duif,4.38,3.90,3.05,4.90,N
duik,4.52,4.97,4.09,5.71,N
duiken,4.59,5.16,4.03,5.90,V
duiker,4.27,5.02,4.02,6.71,N
duim,4.38,3.67,3.88,4.00,N
duimen,5.02,4.09,3.84,5.03,V
duin,4.64,3.00,3.95,6.81,N
duister,2.84,3.34,4.41,6.71,A
duit,4.52,3.54,3.90,8.77,N
duivel,1.83,5.11,5.64,6.94,N
duizend,4.61,4.03,5.06,6.26,R
dulden,4.22,3.55,3.87,8.81,V
dun,4.02,3.44,3.20,5.48,A
dunk,3.86,4.34,4.42,9.87,N
duo,4.69,4.00,4.50,8.32,N
dupe,2.52,3.46,2.89,9.74,N
duren,3.70,3.77,4.16,6.16,V
durf,5.16,5.09,5.11,5.87,N
durven,5.27,5.28,5.31,5.58,V
duur,3.03,3.70,4.61,5.45,A
duurzaam,5.56,3.52,5.06,10.03,A
duw,2.88,5.03,4.63,4.68,N
duwen,3.27,5.17,4.63,4.58,V
dwaalspoor,2.73,3.84,3.78,9.00,N
dwaas,2.72,3.94,2.97,6.55,A
dwalen,3.11,3.95,3.09,8.13,V
dwang,2.13,5.25,4.94,7.90,N
dwangbuis,1.95,3.75,4.72,9.52,N
dwangsom,2.24,4.23,4.68,11.45,N
dwars,2.95,4.19,4.22,7.45,A
dweil,3.41,3.56,2.89,6.45,N
dweilen,3.44,4.70,3.48,6.00,V
dwerg,3.50,3.59,2.94,6.13,N
dwingen,2.41,5.34,5.38,7.13,V
dwingend,2.36,5.39,5.42,7.97,A
dynamisch,5.55,5.45,4.98,11.16,A
eb,4.25,3.59,3.50,7.26,N
echo,4.41,3.81,3.92,7.32,N
echt,5.33,4.14,4.83,4.61,A
echtpaar,5.41,4.22,4.50,8.03,N
edel,4.94,3.46,4.78,8.32,A
eed,4.59,3.64,5.11,9.16,N
eelt,3.06,3.44,4.06,8.81,N
eend,4.41,3.81,3.45,4.19,N
eenheid,5.08,3.67,4.84,8.23,N
eenvoudig,4.84,2.81,3.78,7.32,A
eenzaam,2.05,2.33,3.25,7.10,A
eenzaamheid,1.80,2.42,3.28,7.94,N
eer,5.48,4.11,5.34,7.84,N
eerbied,5.55,3.52,4.63,9.35,N
eerbiedig,5.41,3.55,4.27,8.68,A
eerlijk,6.16,4.05,4.98,5.26,A
eerlijkheid,6.31,4.03,5.28,6.74,N
eeuw,4.30,3.34,4.59,7.67,N
effen,4.31,3.17,3.76,7.90,A
efficiënt,5.70,4.55,5.30,10.42,A
egel,4.48,3.33,3.27,5.03,N
ego,3.41,4.35,5.31,9.65,N
egoïstisch,1.94,4.22,4.25,9.00,A
ei,4.44,2.97,3.17,4.13,N
eicel,4.42,4.00,3.91,10.58,N
eigen,4.67,3.67,4.67,6.10,A
eigengereid,3.77,4.09,4.56,10.47,A
eigenwijs,3.81,4.67,4.98,7.94,A
eigenzinnig,4.28,4.48,4.81,9.19,A
eik,4.48,2.97,4.42,6.39,N
eikel,2.67,3.97,4.20,7.06,N
eind,3.31,3.20,4.53,5.90,N
einde,2.94,3.31,4.47,5.45,N
eis,3.03,4.75,5.31,7.81,N
eisen,2.86,5.14,5.23,7.77,V
ekster,3.97,4.30,3.67,7.29,N
eland,4.48,3.92,4.21,7.52,N
electriciteit,4.48,5.06,4.89,7.06,N
elf,4.86,3.69,3.58,4.71,N
embleem,4.35,3.20,4.45,9.97,N
emir,3.83,3.50,4.73,10.17,N
emmer,4.05,3.20,3.58,4.74,N
emotie,5.16,5.25,4.69,7.94,N
emotioneel,4.05,5.41,3.55,8.74,A
energie,5.66,6.06,5.39,7.42,N
energiek,5.80,6.16,5.33,8.55,A
energieloos,2.42,1.95,2.50,8.84,A
eng,2.41,4.77,4.38,5.10,A
engel,5.70,3.33,4.53,5.68,N
enggeestig,2.34,3.81,3.63,10.74,A
enig,4.84,3.61,3.78,7.58,A
enkel,4.03,3.48,3.23,5.61,A
enorm,4.83,4.78,5.31,6.65,A
enthousiasme,6.13,5.89,5.31,8.16,N
enthousiast,6.17,5.92,5.19,7.61,A
epos,4.77,3.78,4.35,12.70,N
eren,5.17,4.44,4.60,8.13,V
erf,4.25,3.17,4.00,7.16,N
erg,2.86,4.94,4.80,4.77,A
ergernis,2.39,5.05,4.38,8.39,N
erker,4.07,2.98,3.63,9.22,N
ernst,3.47,3.98,4.86,8.00,N
ernstig,3.05,4.31,5.36,7.10,A
erts,4.07,3.48,4.34,10.38,N
ervaren,5.25,4.36,4.98,8.23,V
erven,4.66,3.86,4.25,8.45,V
erwt,4.03,3.13,3.06,5.06,N
essay,3.89,4.09,4.25,12.00,N
eten,5.45,4.08,4.22,3.35,V
ets,4.27,3.40,3.90,10.79,N
etsen,4.16,4.42,4.08,11.50,V
etter,2.14,4.47,4.00,8.23,N
etui,4.16,3.08,3.60,7.52,N
euro,4.84,3.81,4.52,9.87,N
euvel,2.94,4.07,3.55,11.52,N
even,4.28,3.42,3.64,6.13,A
evenwichtig,5.55,3.35,4.63,8.90,A
ex,2.47,4.19,3.86,9.23,N
examens,3.09,5.47,4.91,8.42,N
excentriek,4.42,5.08,5.09,11.90,A
excuus,3.52,3.98,3.19,7.00,N
executie,1.47,5.88,5.52,10.00,N
explosief,2.80,6.28,5.88,7.97,A
extatisch,5.73,5.95,5.25,12.26,A
extravagant,4.39,5.41,5.08,11.87,A
extravert,5.08,5.55,5.33,12.26,A
extreem,3.44,5.94,5.89,8.23,A
ezel,3.89,3.72,3.34,4.97,N
faam,5.05,4.36,4.97,9.79,N
fabel,4.27,3.52,3.34,7.39,N
fabriek,3.45,4.70,4.30,6.23,N
failliet,1.84,3.64,3.23,9.29,A
fair,5.53,3.98,4.56,9.65,A
fakkel,4.42,4.03,4.63,7.03,N
falen,2.03,4.02,2.92,8.77,V
familie,5.88,4.05,4.84,4.61,N
fan,5.16,5.09,3.75,7.03,N
fanfare,4.67,5.06,4.16,7.61,N
fascinatie,5.52,5.13,5.05,10.16,N
fase,4.20,3.83,3.89,8.13,N
fataal,1.61,4.98,5.39,9.42,A
fatsoen,5.20,3.70,4.53,8.74,N
fatsoenlijk,5.27,3.75,4.45,8.65,A
fauna,5.19,3.77,4.22,10.39,N
fauteuil,4.74,2.32,3.80,9.48,N
fazant,4.44,4.02,3.56,7.23,N
fee,5.23,4.09,3.52,4.58,N
feeks,2.22,4.69,4.52,8.70,N
feest,6.17,5.98,4.92,4.77,N
feestdag,5.91,4.63,4.48,6.65,N
feesten,5.97,6.13,4.80,6.03,V
feestmaal,5.95,4.83,4.61,6.16,N
feilloos,5.31,3.70,5.28,10.00,A
feit,4.64,3.55,4.98,8.13,N
fel,3.75,5.67,5.17,6.68,A
ferm,4.81,4.59,5.08,8.81,A
fiche,4.13,3.34,3.82,9.26,N
fier,5.53,4.59,5.14,8.03,A
fiets,4.66,4.52,3.98,4.19,N
fietsen,4.88,5.33,4.09,4.65,V
figuur,4.50,3.78,4.08,5.74,N
fijn,5.78,3.98,4.23,5.32,A
fik,2.66,4.91,4.92,6.57,N
fiks,3.56,4.69,4.69,9.10,A
file,2.48,2.81,4.19,6.84,N
film,5.41,4.13,4.14,4.90,N
filmen,4.72,4.77,4.14,5.58,V
filter,4.14,3.58,3.92,7.84,N
fit,5.55,5.25,5.00,7.48,A
fjord,4.61,3.27,4.49,10.43,N
flank,4.05,3.52,3.71,8.77,N
flap,3.89,3.46,3.54,6.45,N
flard,3.49,3.64,3.22,8.93,N
flat,4.03,3.30,4.02,6.87,N
flauw,2.95,2.73,2.78,6.84,A
fles,4.30,3.44,3.95,4.52,N
flets,3.14,2.98,3.07,9.27,A
flink,5.27,4.28,4.75,4.87,A
flirt,5.25,5.52,4.53,10.32,N
flirten,5.59,5.73,4.81,9.97,V
flits,3.72,5.03,4.25,6.06,N
flitsen,3.44,5.19,4.38,7.30,V
flora,5.20,3.55,3.91,10.10,N
fluit,4.41,3.75,3.86,5.13,N
fluiten,4.97,4.50,3.94,5.39,V
fluweel,5.14,2.92,3.34,8.10,A
fobie,2.23,5.41,3.88,10.29,N
fokken,3.75,5.05,4.16,8.74,V
fonds,4.69,3.59,4.03,9.74,N
fontein,5.13,3.92,4.05,6.26,N
fooi,5.06,4.08,4.00,8.71,N
forel,4.17,4.17,3.41,8.29,N
fornuis,4.11,3.84,3.92,6.13,N
fors,4.03,4.28,5.16,8.35,A
fort,4.03,3.97,5.20,6.81,N
fortuin,5.56,4.45,5.27,7.70,N
foto,4.80,3.38,4.03,4.48,N
fout,2.56,3.86,3.80,4.71,A
foutloos,5.64,3.91,5.47,7.45,A
fraai,5.41,4.13,4.34,8.39,A
fragiel,3.06,2.94,2.05,9.61,A
framboos,4.95,3.20,3.33,6.00,N
franje,4.44,3.79,3.43,9.90,N
frats,4.05,4.59,3.75,8.60,N
fraude,2.06,4.72,4.13,10.55,N
frêle,3.93,3.08,2.63,11.60,A
fries,4.19,3.63,3.87,9.21,N
friet,5.13,3.68,3.89,4.55,N
fris,5.22,4.08,4.21,5.74,A
frisbee,4.80,4.67,3.67,6.26,N
frivool,5.00,4.39,4.00,11.41,A
frons,3.08,4.05,4.25,7.68,N
fronsen,3.00,4.37,4.11,8.03,V
front,3.68,4.63,4.81,8.61,N
fruit,5.22,3.34,4.02,4.32,N
frustratie,2.17,5.52,4.41,9.03,N
fuif,5.44,5.84,4.46,9.23,N
fuiven,5.38,5.79,4.28,10.03,V
furie,2.66,6.14,5.42,10.38,N
furieus,2.23,6.21,5.67,10.16,N
fut,4.06,4.14,3.84,8.45,N
futloos,2.25,2.09,2.39,9.26,A
gaaf,5.38,4.28,4.65,7.74,A
gaai,4.07,4.15,3.96,7.89,N
gaan,4.27,4.66,4.23,4.16,V
gaar,4.33,3.53,3.73,7.61,A
gaas,3.69,3.28,3.48,7.66,N
gal,2.75,3.71,4.08,10.35,N
gala,5.34,4.73,4.31,9.94,N
galabal,5.33,5.14,4.16,10.72,N
galant,5.69,3.94,4.54,9.87,A
galg,1.75,4.23,5.03,8.71,N
galop,4.63,5.55,4.78,7.81,N
game,4.89,4.86,4.23,8.03,N
gamma,4.17,3.66,4.05,9.68,N
gammel,2.83,3.44,2.71,8.56,A
gang,3.89,3.27,3.92,5.13,N
gangster,2.31,5.45,5.28,8.71,N
gans,4.25,4.00,3.58,5.06,N
gapen,3.41,3.08,3.28,6.06,V
garnaal,4.23,3.53,2.73,6.77,N
gas,3.44,3.83,4.34,7.35,N
gasmasker,2.50,4.09,4.73,8.55,N
gast,4.89,3.81,3.88,6.16,N
gastvrij,5.86,4.24,4.38,8.19,A
gat,3.20,3.47,3.77,4.61,N
gauw,4.27,4.77,4.02,6.35,A
gazon,4.66,2.91,3.38,6.90,N
geanimeerd,5.38,5.08,4.51,10.74,A
gebak,5.33,3.44,3.73,5.84,N
gebeente,3.37,3.30,4.24,8.55,N
geboorte,5.83,5.31,4.66,5.61,N
gebouw,4.19,3.31,4.55,5.55,N
gebrek,2.58,3.25,2.84,7.23,N
gebrekkig,2.47,3.44,2.84,8.94,A
gebroken,2.42,3.91,3.16,5.55,A
gedienstig,3.98,3.55,2.94,9.87,A
gedisciplineerd,5.30,4.10,5.22,9.94,A
geduldig,5.52,2.86,4.52,7.39,A
gedwee,3.40,2.88,2.85,10.88,A
geel,4.36,3.64,3.73,3.77,A
geelzucht,2.03,3.57,3.57,10.29,N
geërgerd,2.22,5.09,4.13,9.00,A
geest,3.81,3.89,4.63,6.77,N
geestdriftig,4.45,5.09,4.74,11.17,A
geeuw,3.47,2.94,3.31,5.65,N
geeuwen,3.46,2.94,3.33,5.45,V
gefascineerd,5.53,4.98,4.88,10.13,A
gefrustreerd,2.19,5.42,4.05,9.35,A
gehandicapt,2.38,3.47,3.19,7.23,A
geheim,3.84,4.03,4.63,5.52,N
geheugen,5.02,4.35,4.59,7.55,N
gehoorzaam,4.77,3.41,3.08,6.03,A
gehoorzamen,4.53,3.36,2.94,5.94,V
gehumeurd,3.31,4.20,4.17,8.60,A
geil,4.86,6.11,5.35,11.39,A
geïrriteerd,2.33,5.16,4.20,8.68,A
geiser,4.27,4.76,4.76,9.54,N
geit,4.16,3.78,3.39,4.52,N
gejuich,5.75,5.75,5.09,6.68,N
gek,3.27,5.23,4.11,5.35,A
gekweld,2.14,4.38,3.48,9.45,A
gekwetst,2.08,4.00,3.17,7.45,A
gelaten,3.63,3.53,3.47,9.10,A
geld,5.34,4.17,5.14,5.16,N
gelei,4.14,3.03,3.23,8.42,N
geliefd,6.28,4.27,5.14,7.42,A
geloof,4.28,3.47,4.59,6.13,N
geluk,6.39,4.73,5.41,6.26,N
gelukkig,6.61,4.64,5.36,5.77,A
gelukkigheid,6.48,5.08,5.27,7.93,N
gember,4.14,3.27,4.09,11.61,N
gemeen,2.09,4.83,4.94,5.58,A
gemiddeld,3.98,3.64,3.94,7.61,A
gen,4.30,3.75,4.81,11.61,N
genadeloos,2.27,4.78,5.11,9.32,A
genadig,5.02,3.81,4.06,9.23,A
gène,2.90,3.73,3.29,10.87,N
genie,5.88,4.89,5.58,7.74,N
geniep,2.83,4.10,3.45,9.06,N
genot,6.13,4.91,5.13,9.23,N
genre,4.36,3.41,3.97,9.71,N
geraamte,2.94,2.67,3.73,7.39,N
geregeld,4.88,3.92,4.56,7.97,A
geremd,3.00,3.00,3.00,8.10,A
gering,3.27,3.14,3.16,9.58,A
gerst,4.15,3.11,3.62,9.25,N
geschenk,5.84,4.33,4.23,5.94,N
geschikt,5.55,4.05,4.73,7.61,A
geschil,2.83,4.63,4.16,10.20,N
gesel,2.66,4.61,4.42,10.00,N
gesloten,3.03,2.83,3.89,5.52,A
gesofisticeerd,5.34,3.98,4.85,11.84,A
gesp,4.02,3.41,4.08,8.07,N
gespannen,2.72,5.58,3.86,7.77,A
gespierd,5.59,5.08,5.44,6.81,A
getalenteerd,6.20,4.88,5.55,8.03,A
getto,2.53,5.09,4.58,10.60,N
geul,3.59,3.11,3.67,8.61,N
geur,4.42,3.81,4.39,5.45,N
gevaar,2.13,5.50,5.28,5.61,N
gevaarlijk,2.31,5.72,5.30,5.39,A
gevangen,2.03,3.78,3.52,5.77,A
gevangenis,2.08,4.19,4.67,5.68,N
gevat,5.03,4.42,4.63,10.06,A
gevecht,2.27,6.16,5.33,5.71,N
gevel,4.22,3.03,4.09,8.52,N
geven,5.28,4.50,4.19,4.26,V
gevoelig,4.66,4.19,3.23,7.45,A
gewapend,2.36,5.53,5.56,7.42,A
geweer,2.47,5.20,5.64,5.90,N
gewelddadig,1.92,6.19,5.42,7.97,A
geweten,4.63,3.94,4.95,8.19,N
gewichtheffer,4.16,5.53,5.47,7.68,N
gewichtig,4.10,3.94,4.76,10.32,A
gewillig,4.36,3.69,3.05,9.52,A
gewoon,4.14,3.44,3.61,5.29,A
gezag,3.94,4.64,5.77,8.16,N
gezellig,6.08,4.39,4.59,6.16,A
gezicht,4.77,3.78,4.34,4.90,N
gezond,6.28,4.48,5.22,5.97,A
gezondheid,5.69,4.14,5.03,7.00,N
gezwel,1.80,4.11,4.42,8.94,N
gids,4.55,4.16,4.48,7.13,N
gidsen,4.66,4.80,4.34,7.84,V
gier,3.14,4.27,4.30,7.48,N
gieren,4.02,5.17,4.52,7.87,V
gierig,2.27,3.92,3.50,8.03,A
gieten,3.97,4.48,3.98,5.58,V
gif,2.09,4.60,5.38,6.52,N
gift,5.27,4.11,4.22,8.23,N
gijzelaar,1.75,4.72,4.11,8.94,N
gil,2.80,5.66,4.76,5.52,N
gillen,2.77,5.92,4.36,5.61,V
gin,4.13,3.95,4.45,11.66,N
gips,3.08,2.84,4.28,6.48,N
giraf,4.75,3.88,4.20,4.65,N
gissen,3.48,4.30,3.44,9.10,V
gist,3.97,3.53,3.95,8.68,N
gisten,3.89,3.77,3.92,8.68,V
gitaar,5.22,4.25,4.28,5.58,N
glad,4.03,3.83,3.61,5.32,A
glans,5.31,3.95,4.47,6.94,N
glanzen,5.22,4.14,4.48,6.97,V
glas,4.17,3.39,4.14,4.39,N
gletsjer,4.39,3.72,5.23,8.87,N
gleuf,3.81,3.39,3.51,7.48,N
glijden,4.30,4.43,3.72,5.68,V
glimlach,6.06,4.52,4.78,5.58,N
glimp,4.65,3.70,3.78,7.97,N
glippen,3.47,4.67,3.35,7.65,V
globaal,4.41,3.70,4.31,10.29,A
gloed,4.77,3.92,4.35,7.84,N
gloednieuw,5.67,4.28,4.86,7.74,A
gloeien,4.22,4.58,4.58,7.16,V
glunderen,5.79,5.13,4.79,8.35,V
gluren,2.95,4.53,3.50,7.06,V
goal,5.39,5.59,5.17,5.68,N
god,4.03,3.08,5.53,5.03,N
godsdienst,3.84,3.17,4.22,6.84,N
godsdienstig,3.69,3.30,4.05,7.81,A
goed,5.84,4.23,4.83,3.71,A
goedaardig,5.78,3.92,4.50,8.26,A
goedgehumeurd,6.03,5.09,4.97,8.84,A
goedgelovig,3.39,3.36,3.00,8.74,A
goedkoop,4.95,3.64,3.34,6.32,A
goedmaken,5.61,4.81,4.58,6.39,V
goeroe,3.75,3.87,4.63,11.74,N
gok,3.58,4.34,3.80,7.16,N
gokken,3.11,5.03,3.70,7.74,V
golf,4.42,4.52,4.42,6.19,N
golven,4.69,4.89,4.72,5.87,V
gondel,4.73,3.61,3.67,9.39,N
gong,4.16,3.95,4.87,8.64,N
gonzen,3.55,4.62,4.46,9.48,V
gooi,4.02,4.70,4.18,5.35,N
gooien,3.92,5.28,4.33,4.48,V
goor,2.06,3.97,4.19,8.84,A
goot,3.17,3.17,3.34,6.84,N
gordel,4.47,3.48,4.39,5.84,N
gordijn,4.19,2.88,3.81,5.26,N
goud,5.64,3.77,5.17,5.90,N
goudstuk,5.50,3.73,5.00,6.55,N
graad,4.20,3.55,4.23,7.81,N
graaf,4.08,3.91,5.02,7.52,N
graag,5.58,4.33,4.45,4.65,A
graal,4.45,3.52,4.44,11.41,N
graan,4.36,3.16,3.50,6.58,N
graat,3.22,3.25,3.74,7.00,N
gracht,3.86,3.33,4.06,6.29,N
graf,2.13,2.03,4.06,6.10,N
gram,3.94,3.36,2.81,7.48,N
granaat,2.11,5.84,5.77,7.48,N
grap,5.58,4.66,4.28,5.20,N
grappen,5.62,4.86,4.61,5.68,V
grappig,6.06,5.00,4.81,5.32,A
gras,4.84,3.06,3.42,3.87,N
gratis,5.89,3.81,4.39,6.10,A
grauw,2.69,2.95,3.71,8.48,A
graven,3.53,5.09,4.20,5.29,V
grazen,4.31,3.94,3.73,6.52,V
greep,3.56,4.69,4.86,6.52,N
grendel,3.56,3.33,4.63,7.37,N
grens,3.89,3.52,4.31,6.52,N
greppel,3.40,2.90,3.75,8.14,N
griep,2.20,3.78,3.91,5.68,N
griet,3.83,4.28,3.78,8.23,N
griezel,2.17,4.97,4.48,6.16,N
grijns,4.05,4.25,4.58,7.35,N
grijnzen,3.95,4.64,4.69,8.16,V
grijpen,3.59,5.16,4.63,5.55,V
grijs,3.39,2.91,3.66,4.77,A
gril,3.92,4.16,4.14,7.71,N
grillen,4.17,4.78,4.44,8.10,V
grimas,3.21,4.32,4.51,10.50,N
grind,3.79,3.03,3.81,8.45,N
groef,3.58,3.31,3.87,8.94,N
groei,5.03,4.77,4.72,5.71,N
groeien,5.31,5.00,4.64,5.19,V
groen,4.83,3.42,3.86,3.74,A
groep,4.67,4.41,4.75,5.16,N
groet,5.14,4.06,4.16,6.32,N
groeten,5.09,4.44,4.11,5.87,V
grof,2.48,4.48,4.73,7.81,A
grom,2.92,4.58,4.45,6.13,N
grommen,2.72,5.00,4.86,6.06,V
grond,4.06,3.00,3.95,4.29,N
grondig,4.92,4.52,4.88,8.06,A
groot,4.78,4.28,5.11,3.94,A
gros,3.95,3.70,4.21,9.58,N
grot,4.08,3.22,4.23,5.55,N
grotesk,3.83,4.71,5.14,11.52,A
gruis,3.20,3.18,3.21,8.97,N
gruwel,1.94,5.21,4.98,8.23,N
gul,5.66,4.42,4.69,8.55,A
gulp,3.79,3.60,3.80,7.36,N
gulzig,2.84,5.27,4.13,7.16,A
gunst,5.16,4.05,4.06,8.03,N
guur,2.69,4.02,4.16,9.11,A
gym,4.52,5.64,4.16,6.42,N
haag,4.22,3.02,3.91,7.16,N
haai,3.23,5.56,5.42,5.52,N
haak,3.31,3.55,4.48,5.61,N
haan,4.09,4.38,4.25,4.61,N
haar,4.53,3.47,3.52,3.84,N
haard,4.94,3.08,4.23,6.26,N
haardvuur,5.38,3.88,4.55,6.87,N
haas,4.35,5.00,3.53,5.16,N
haast,3.14,5.75,4.16,6.13,N
haasten,3.08,5.95,3.83,6.13,V
haat,1.52,5.52,5.19,6.06,N
haatdragend,1.69,5.19,4.73,10.39,A
hagedis,3.98,4.20,3.69,6.32,N
hagel,3.28,4.61,4.73,6.26,N
hak,4.05,3.73,4.27,6.45,N
hakken,3.88,4.84,4.48,6.55,V
hal,4.02,3.14,3.78,5.68,N
halen,4.27,4.55,3.98,5.45,V
half,3.70,3.39,3.33,5.10,A
halfslachtig,2.72,3.39,2.86,10.77,A
hals,4.38,3.58,3.70,5.42,N
halt,3.44,3.45,4.38,6.42,R
ham,4.36,3.08,3.73,5.52,N
hamer,3.84,4.41,5.17,5.13,N
hamster,4.53,4.33,2.89,5.16,N
hand,4.36,3.95,4.03,3.87,N
handel,4.20,4.72,4.25,7.81,N
handig,5.47,4.31,4.73,6.81,A
hang,3.66,3.38,3.68,6.44,N
hangen,3.61,3.56,3.55,5.35,V
hangerig,3.00,2.84,2.78,8.61,A
hap,4.34,4.17,3.95,3.61,N
happen,3.81,4.68,3.95,5.62,V
hard,3.64,4.50,5.39,4.65,A
hardhandig,2.52,5.50,5.41,9.13,A
hardnekkig,2.83,5.02,5.30,9.06,A
hardvochtig,3.00,4.82,4.70,11.03,A
hardwerkend,5.44,5.91,5.34,8.29,A
harem,3.36,4.41,4.00,10.87,N
haring,3.94,3.75,3.53,7.10,N
hark,3.86,3.83,3.92,5.94,N
harken,3.77,4.67,3.69,6.30,V
harnas,3.77,3.86,5.28,7.13,N
harp,4.84,3.48,3.39,8.03,N
hars,3.59,3.30,4.28,9.52,N
hart,5.23,5.05,4.92,5.00,N
harteloos,1.91,3.88,3.59,9.00,A
hartstocht,6.03,5.83,5.52,10.19,N
hartstochtelijk,6.13,5.80,5.23,10.39,A
hasj,3.09,3.61,4.19,12.32,N
hatelijk,1.92,4.86,4.81,8.42,A
haten,1.61,5.67,5.19,6.48,V
haven,4.44,4.20,4.25,6.26,N
haver,4.11,3.31,3.69,7.60,N
havik,4.23,4.72,4.89,7.29,N
Hawaii,5.86,3.58,4.31,8.90,N
hazelnoot,4.63,3.27,3.73,6.87,N
hebben,4.50,4.06,4.70,3.48,V
hebzucht,2.20,4.92,4.13,9.61,N
hebzuchtig,2.14,4.94,4.52,9.71,A
hecht,5.36,3.61,4.64,7.97,A
heden,4.69,3.91,4.47,8.32,N
heel,4.88,3.75,4.69,5.19,A
heer,4.77,3.66,5.00,6.26,N
heerlijk,6.38,4.38,4.97,6.16,A
heersen,3.67,5.38,6.03,7.68,V
heerszuchtig,2.28,5.23,5.60,10.52,A
hees,3.27,3.49,3.15,7.84,A
heester,4.08,3.47,3.74,9.12,N
heet,4.39,4.83,5.05,5.03,A
heethoofdig,2.47,5.84,4.91,9.80,A
heffen,3.88,5.13,4.61,7.10,V
heft,4.14,4.15,4.52,9.45,N
heftig,3.77,5.86,5.64,7.45,A
heg,4.06,2.97,3.95,6.83,N
heibel,2.75,5.08,4.45,9.38,N
heide,4.58,2.94,3.61,7.83,N
heidens,3.08,4.17,4.15,9.93,A
heil,4.32,3.75,4.33,9.26,N
heilzaam,5.24,3.30,4.48,10.17,A
heimwee,2.67,3.92,3.23,7.29,N
hek,3.88,3.08,4.08,5.55,N
hekel,2.27,4.55,4.84,6.90,N
