Verb,Unconditional MLE,Fisher's p,Verb frequency,Collostruction frequency,'Zijn' ratio
afgeven,0.176914583624,1.82602245709e-17,192,17,0.244791666667
voorleggen,0.176279772449,1.02924998787e-09,102,9,0.117647058824
aanbrengen,0.175349900221,7.48747524411e-99,1159,102,0.560828300259
overlopen,0.175167951244,5.28286359865e-06,57,5,0.964912280702
meemaken,0.17440434322,1.54234123881e-25,286,25,0
uitbreken,0.173057736892,8.59736219034e-24,265,23,0.996226415094
voortbrengen,0.170241915148,1.39193019619e-24,269,23,0.0557620817844
uitreiken,0.165992625831,4.07995101504e-87,980,82,0.0469387755102
afleggen,0.165491361014,5.21318357696e-34,372,31,0.0913978494624
toekennen,0.162487465871,6.11784545426e-88,975,80,0.156923076923
toenemen,0.161376795483,1.27979933227e-16,172,14,0.994186046512
staan,0.159653536694,9.49902045053e-126,1386,112,0
doormaken,0.159160851399,2.70875904779e-11,112,9,0
binnenhalen,0.156142335829,4.51272663987e-08,76,6,0.210526315789
indienen,0.155676056573,4.09449898604e-28,292,23,0.27397260274
nalaten,0.151762186675,1.81380416825e-19,195,15,0.0923076923077
inslaan,0.149724291516,1.13798297303e-08,79,6,0.721518987342
opwerpen,0.14770058385,1.15383524656e-08,80,6,0.325
afstoten,0.145740207922,2.60211588927e-06,54,4,0.0740740740741
bezighouden,0.142882163643,1.66217199135e-06,55,4,0.0181818181818
aanrichten,0.141000713109,1.71669780991e-17,167,12,0.11377245509
opdoen,0.139407080023,2.46501952755e-23,225,16,0.142222222222
aangaan,0.13628739564,8.18034285307e-17,158,11,0.689873417722
oplopen,0.134499611036,8.21192361755e-48,465,32,0.137634408602
neerzetten,0.133427563044,3.41234208657e-26,249,17,0.156626506024
neerslaan,0.132098846622,3.09199028495e-22,207,14,0.275362318841
overgeven,0.124197978907,6.58763654406e-11,94,6,0.0425531914894
binnenvallen,0.123486658534,1.76541298288e-14,126,8,1.0
voordoen,0.110870208145,1.1006364227e-14,122,7,0
afkondigen,0.110870208145,1.1006364227e-14,122,7,0.213114754098
doorbrengen,0.107118446155,1.56956763373e-25,216,12,0.00925925925926
deelnemen,0.104942697001,9.96964871147e-76,660,36,0.00606060606061
opsommen,0.0993667318451,1.03601795488e-07,58,3,0.672413793103
binnenkomen,0.0867468246052,3.13648722487e-09,66,3,1.0
kwijtraken,0.0852005867242,4.12032084158e-23,179,8,1.0
plaatsvinden,0.0542951319771,4.71424241028e-147,1034,30,0
opzeggen,0.0520469745793,2.57899720576e-11,72,2,0.0138888888889
toeleggen,0.0515362865364,2.00614892355e-32,218,6,0.00917431192661
