word;aoa;percentknown;;;;;;
verslepen;8,72;100,0;;;;;;
visgraat;8,72;100,0;;;;;;
volger;8,72;100,0;;;;;;
volkslied;8,72;100,0;;;;;;
wegslepen;8,72;100,0;;;;;;
windstil;8,72;100,0;;;;;;
zwaargewond;8,72;100,0;;;;;;
snoei;8,72;100,0;;;;;;
tonijn;8,73;100,0;;;;;;
toost;8,73;99,0;;;;;;
frul;8,73;61,1;;;;;;
kipkap;8,73;61,1;;;;;;
werktafel;8,73;97,9;;;;;;
zwier;8,73;95,3;;;;;;
pissebed;8,73;99,6;;;;;;
knapzak;8,73;83,3;;;;;;
wis;8,73;83,3;;;;;;
fezelen;8,73;75,0;;;;;;
flut;8,73;75,0;;;;;;
halfbroer;8,73;100,0;;;;;;
dollen;8,73;99,1;;;;;;
aannaaien;8,74;95,0;;;;;;
plukker;8,74;95,0;;;;;;
sik;8,74;95,0;;;;;;
stijging;8,74;95,0;;;;;;
lotto;8,74;100,0;;;;;;
margriet;8,74;98,9;;;;;;
krimp;8,74;94,4;;;;;;
moed;8,74;100,0;;;;;;
violet;8,74;100,0;;;;;;
videocamera;8,74;100,0;;;;;;
scha;8,75;24,3;;;;;;
afloop;8,75;100,0;;;;;;
afronden;8,75;100,0;;;;;;
bergachtig;8,75;100,0;;;;;;
beschamend;8,75;100,0;;;;;;
bouwterrein;8,75;100,0;;;;;;
buitenbeentje;8,75;100,0;;;;;;
dienstmeid;8,75;100,0;;;;;;
elkander;8,75;100,0;;;;;;
formidabel;8,75;100,0;;;;;;
frituurvet;8,75;100,0;;;;;;
hutsepot;8,75;100,0;;;;;;
jaloersheid;8,75;100,0;;;;;;
kamermeisje;8,75;100,0;;;;;;
laatkomer;8,75;100,0;;;;;;
onderwijzen;8,75;100,0;;;;;;
oordopje;8,75;100,0;;;;;;
oorveeg;8,75;100,0;;;;;;
reinigen;8,75;100,0;;;;;;
scrabbelen;8,75;100,0;;;;;;
surprise;8,75;100,0;;;;;;
tegenstribbelen;8,75;100,0;;;;;;
volgooien;8,75;100,0;;;;;;
voorgerecht;8,75;100,0;;;;;;
vrijstaan;8,75;100,0;;;;;;
wereldrecord;8,75;100,0;;;;;;
zeilschip;8,75;100,0;;;;;;
peignoir;8,75;88,9;;;;;;
autoped;8,75;80,0;;;;;;
kastaar;8,75;80,0;;;;;;
koren;8,75;99,8;;;;;;
bont;8,75;99,2;;;;;;
thema;8,75;100,0;;;;;;
peet;8,75;66,6;;;;;;
stuiver;8,76;98,7;;;;;;
poel;8,76;98,0;;;;;;
lont;8,76;99,6;;;;;;
toorts;8,76;83,0;;;;;;
kliederen;8,76;94,4;;;;;;
oceaan;8,76;94,4;;;;;;
rijbaan;8,76;94,4;;;;;;
rijdier;8,76;94,4;;;;;;
roeier;8,76;94,4;;;;;;
slachthuis;8,76;94,4;;;;;;
theewater;8,76;94,4;;;;;;
vlakaf;8,76;94,4;;;;;;
wachthond;8,76;94,4;;;;;;
wegstrepen;8,76;94,4;;;;;;
waker;8,77;97,2;;;;;;
toverkol;8,77;72,2;;;;;;
grootje;8,77;65,0;;;;;;
lever;8,77;99,5;;;;;;
scheermes;8,77;100,0;;;;;;
gereedschapskist;8,77;100,0;;;;;;
overval;8,78;100,0;;;;;;
bedroefdheid;8,78;100,0;;;;;;
beledigd;8,78;100,0;;;;;;
blunder;8,78;100,0;;;;;;
braden;8,78;100,0;;;;;;
gangster;8,78;100,0;;;;;;
intelligent;8,78;100,0;;;;;;
lafaard;8,78;100,0;;;;;;
oninteressant;8,78;100,0;;;;;;
onvoldoende;8,78;100,0;;;;;;
ouderwets;8,78;100,0;;;;;;
pijnloos;8,78;100,0;;;;;;
positief;8,78;100,0;;;;;;
rammen;8,78;100,0;;;;;;
schaden;8,78;100,0;;;;;;
schrappen;8,78;100,0;;;;;;
slijmen;8,78;100,0;;;;;;
storten;8,78;100,0;;;;;;
tasten;8,78;100,0;;;;;;
tentoonstelling;8,78;100,0;;;;;;
treffen;8,78;100,0;;;;;;
vermoeid;8,78;100,0;;;;;;
zorgzaam;8,78;100,0;;;;;;
detail;8,78;99,6;;;;;;
gierig;8,78;99,6;;;;;;
krap;8,78;99,6;;;;;;
kwaadheid;8,78;99,6;;;;;;
oester;8,78;99,6;;;;;;
slippen;8,78;99,6;;;;;;
sukkelig;8,78;99,6;;;;;;
effen;8,78;99,1;;;;;;
schelen;8,78;99,1;;;;;;
vloeien;8,78;99,1;;;;;;
weven;8,78;99,1;;;;;;
kerker;8,78;98,7;;;;;;
zalven;8,78;98,2;;;;;;
nipt;8,78;96,9;;;;;;
aanspoelen;8,78;100,0;;;;;;
afbranden;8,78;100,0;;;;;;
afdoen;8,78;100,0;;;;;;
afgewerkt;8,78;100,0;;;;;;
afschuren;8,78;100,0;;;;;;
aftrap;8,78;100,0;;;;;;
bangmakerij;8,78;100,0;;;;;;
barbecue;8,78;100,0;;;;;;
barones;8,78;100,0;;;;;;
beoefenen;8,78;100,0;;;;;;
berekening;8,78;100,0;;;;;;
beschamen;8,78;100,0;;;;;;
besluipen;8,78;100,0;;;;;;
binnenhalen;8,78;100,0;;;;;;
binnenraken;8,78;100,0;;;;;;
blondine;8,78;100,0;;;;;;
concert;8,78;100,0;;;;;;
curieus;8,78;100,0;;;;;;
damspel;8,78;100,0;;;;;;
darmen;8,78;100,0;;;;;;
doorbijten;8,78;100,0;;;;;;
doorheen;8,78;100,0;;;;;;
entree;8,78;100,0;;;;;;
fun;8,78;100,0;;;;;;
gebied;8,78;100,0;;;;;;
geheel;8,78;100,0;;;;;;
geknoei;8,78;100,0;;;;;;
getater;8,78;100,0;;;;;;
gezeten;8,78;100,0;;;;;;
glasbak;8,78;100,0;;;;;;
goudblond;8,78;100,0;;;;;;
graankorrel;8,78;100,0;;;;;;
groepsleider;8,78;100,0;;;;;;
handjevol;8,78;100,0;;;;;;
hockeyen;8,78;100,0;;;;;;
hoeven;8,78;100,0;;;;;;
houtskool;8,78;100,0;;;;;;
ietwat;8,78;100,0;;;;;;
ingewikkeld;8,78;100,0;;;;;;
jongleren;8,78;100,0;;;;;;
kanten;8,78;100,0;;;;;;
knipper;8,78;100,0;;;;;;
koninkrijk;8,78;100,0;;;;;;
koopje;8,78;100,0;;;;;;
koorddansen;8,78;100,0;;;;;;
kotelet;8,78;100,0;;;;;;
krokant;8,78;100,0;;;;;;
lachertje;8,78;100,0;;;;;;
langszij;8,78;100,0;;;;;;
levenslang;8,78;100,0;;;;;;
luchtig;8,78;100,0;;;;;;
luidkeels;8,78;100,0;;;;;;
magnetisch;8,78;100,0;;;;;;
meesleuren;8,78;100,0;;;;;;
messteek;8,78;100,0;;;;;;
middellijn;8,78;100,0;;;;;;
modderbad;8,78;100,0;;;;;;
ochtendkrant;8,78;100,0;;;;;;
omkiepen;8,78;100,0;;;;;;
ondervragen;8,78;100,0;;;;;;
onderzoek;8,78;100,0;;;;;;
oogcontact;8,78;100,0;;;;;;
oorlogvoeren;8,78;100,0;;;;;;
overlevende;8,78;100,0;;;;;;
overspoelen;8,78;100,0;;;;;;
overstromen;8,78;100,0;;;;;;
overzee;8,78;100,0;;;;;;
overzetten;8,78;100,0;;;;;;
politiekorps;8,78;100,0;;;;;;
pruilmond;8,78;100,0;;;;;;
rondrit;8,78;100,0;;;;;;
rozengeur;8,78;100,0;;;;;;
saaiheid;8,78;100,0;;;;;;
schitteren;8,78;100,0;;;;;;
schnitzel;8,78;100,0;;;;;;
snijtand;8,78;100,0;;;;;;
spiekbriefje;8,78;100,0;;;;;;
spierwit;8,78;100,0;;;;;;
stampvol;8,78;100,0;;;;;;
stoomtrein;8,78;100,0;;;;;;
tandeloos;8,78;100,0;;;;;;
toedekken;8,78;100,0;;;;;;
toneelspel;8,78;100,0;;;;;;
toonbank;8,78;100,0;;;;;;
topper;8,78;100,0;;;;;;
totempaal;8,78;100,0;;;;;;
uitdoven;8,78;100,0;;;;;;
uitgraven;8,78;100,0;;;;;;
uitkijk;8,78;100,0;;;;;;
verergeren;8,78;100,0;;;;;;
vermoeidheid;8,78;100,0;;;;;;
vervangster;8,78;100,0;;;;;;
vijgen;8,78;100,0;;;;;;
vlekkerig;8,78;100,0;;;;;;
voordringen;8,78;100,0;;;;;;
warboel;8,78;100,0;;;;;;
watermolen;8,78;100,0;;;;;;
winkeldief;8,78;100,0;;;;;;
zatlap;8,78;100,0;;;;;;
zonnebaden;8,78;100,0;;;;;;
juwelier;8,78;100,0;;;;;;
wurm;8,78;92,5;;;;;;
scheenbeen;8,78;97,2;;;;;;
kassierster;8,79;97,2;;;;;;
pierlala;8,79;70,0;;;;;;
lamme;8,79;87,0;;;;;;
vaatwasser;8,79;100,0;;;;;;
kraal;8,79;96,8;;;;;;
hooivork;8,79;95,0;;;;;;
lampion;8,79;95,0;;;;;;
molenaar;8,79;95,0;;;;;;
plattekaas;8,79;95,0;;;;;;
strijker;8,79;95,0;;;;;;
volks;8,79;95,0;;;;;;
gerei;8,79;100,0;;;;;;
poen;8,79;100,0;;;;;;
berm;8,79;99,9;;;;;;
kruin;8,79;98,7;;;;;;
monnik;8,79;100,0;;;;;;
ark;8,79;97,2;;;;;;
bestelwagen;8,79;97,9;;;;;;
curry;8,80;100,0;;;;;;
onderzeeër;8,80;97,9;;;;;;
artieste;8,80;100,0;;;;;;
bereiden;8,80;100,0;;;;;;
bevatten;8,80;100,0;;;;;;
boekenwurm;8,80;100,0;;;;;;
dubbeldekker;8,80;100,0;;;;;;
gekibbel;8,80;100,0;;;;;;
goedje;8,80;100,0;;;;;;
haardos;8,80;100,0;;;;;;
herpakken;8,80;100,0;;;;;;
kerkelijk;8,80;100,0;;;;;;
knobbelig;8,80;100,0;;;;;;
modeshow;8,80;100,0;;;;;;
notitieboek;8,80;100,0;;;;;;
ongelovig;8,80;100,0;;;;;;
ongepast;8,80;100,0;;;;;;
ongewoon;8,80;100,0;;;;;;
ontroeren;8,80;100,0;;;;;;
piekfijn;8,80;100,0;;;;;;
platvoet;8,80;100,0;;;;;;
reistas;8,80;100,0;;;;;;
rondvaart;8,80;100,0;;;;;;
rotfilm;8,80;100,0;;;;;;
rothumeur;8,80;100,0;;;;;;
rozenstruik;8,80;100,0;;;;;;
samenpersen;8,80;100,0;;;;;;
slachtoffer;8,80;100,0;;;;;;
tentakels;8,80;100,0;;;;;;
tientallig;8,80;100,0;;;;;;
tijdig;8,80;100,0;;;;;;
tijdsduur;8,80;100,0;;;;;;
uitgebreid;8,80;100,0;;;;;;
vergeving;8,80;100,0;;;;;;
verkeersregelaar;8,80;100,0;;;;;;
verknoeien;8,80;100,0;;;;;;
verloofde;8,80;100,0;;;;;;
verspreken;8,80;100,0;;;;;;
verzwakken;8,80;100,0;;;;;;
waterdicht;8,80;100,0;;;;;;
watersport;8,80;100,0;;;;;;
wereldvrede;8,80;100,0;;;;;;
bottine;8,80;83,3;;;;;;
charcuterie;8,80;83,3;;;;;;
hoempapa;8,80;83,3;;;;;;
onderaf;8,80;83,3;;;;;;
goochemerd;8,80;27,8;;;;;;
rak;8,80;27,8;;;;;;
bankbediende;8,80;100,0;;;;;;
groentesap;8,80;100,0;;;;;;
markeerstift;8,80;100,0;;;;;;
stapschoenen;8,80;100,0;;;;;;
tafelbier;8,80;100,0;;;;;;
stormwind;8,80;95,8;;;;;;
stinker;8,80;82,6;;;;;;
klots;8,80;80,4;;;;;;
treurwilg;8,81;100,0;;;;;;
kaatsen;8,81;100,0;;;;;;
adder;8,81;99,9;;;;;;
sein;8,81;99,8;;;;;;
eeuw;8,81;99,9;;;;;;
puin;8,81;100,0;;;;;;
rikketik;8,81;88,9;;;;;;
watertrappen;8,81;88,9;;;;;;
vlaag;8,81;99,8;;;;;;
schorpioen;8,82;100,0;;;;;;
reddingsboot;8,82;100,0;;;;;;
spreeuw;8,82;99,6;;;;;;
bloedje;8,82;55,0;;;;;;
hoogspringen;8,82;100,0;;;;;;
badjuffrouw;8,82;94,4;;;;;;
binnenuit;8,82;94,4;;;;;;
doorademen;8,82;94,4;;;;;;
flapperen;8,82;94,4;;;;;;
ijskegel;8,82;94,4;;;;;;
klaarlicht;8,82;94,4;;;;;;
opzwellen;8,82;94,4;;;;;;
weiland;8,82;94,4;;;;;;
zeveraar;8,82;94,4;;;;;;
doedelzak;8,83;100,0;;;;;;
kopie;8,83;100,0;;;;;;
kompas;8,83;100,0;;;;;;
aanbrengen;8,83;100,0;;;;;;
aankopen;8,83;100,0;;;;;;
acrobate;8,83;100,0;;;;;;
aflopen;8,83;100,0;;;;;;
afmaaien;8,83;100,0;;;;;;
afstap;8,83;100,0;;;;;;
afvallen;8,83;100,0;;;;;;
afvoer;8,83;100,0;;;;;;
amper;8,83;100,0;;;;;;
atlete;8,83;100,0;;;;;;
bekogelen;8,83;100,0;;;;;;
bepalen;8,83;100,0;;;;;;
bergafwaarts;8,83;100,0;;;;;;
berichten;8,83;100,0;;;;;;
besmeuren;8,83;100,0;;;;;;
bevrijden;8,83;100,0;;;;;;
bierglas;8,83;100,0;;;;;;
boksbal;8,83;100,0;;;;;;
bosrand;8,83;100,0;;;;;;
bovengronds;8,83;100,0;;;;;;
branderig;8,83;100,0;;;;;;
brandplek;8,83;100,0;;;;;;
bullebak;8,83;100,0;;;;;;
commanderen;8,83;100,0;;;;;;
compliment;8,83;100,0;;;;;;
crossfiets;8,83;100,0;;;;;;
daarginder;8,83;100,0;;;;;;
dichttimmeren;8,83;100,0;;;;;;
doorlopend;8,83;100,0;;;;;;
engerd;8,83;100,0;;;;;;
etenswaren;8,83;100,0;;;;;;
flikkeren;8,83;100,0;;;;;;
flipperkast;8,83;100,0;;;;;;
gebukt;8,83;100,0;;;;;;
gedrag;8,83;100,0;;;;;;
gehuwd;8,83;100,0;;;;;;
geluksvogel;8,83;100,0;;;;;;
gescheiden;8,83;100,0;;;;;;
gezinswagen;8,83;100,0;;;;;;
goudmijn;8,83;100,0;;;;;;
handelen;8,83;100,0;;;;;;
handicap;8,83;100,0;;;;;;
herstel;8,83;100,0;;;;;;
hoofdpunt;8,83;100,0;;;;;;
hoofdstraat;8,83;100,0;;;;;;
induiken;8,83;100,0;;;;;;
ingraven;8,83;100,0;;;;;;
inrichten;8,83;100,0;;;;;;
interesseren;8,83;100,0;;;;;;
jongleur;8,83;100,0;;;;;;
kenner;8,83;100,0;;;;;;
kijkbuis;8,83;100,0;;;;;;
komedie;8,83;100,0;;;;;;
koppigheid;8,83;100,0;;;;;;
koptelefoon;8,83;100,0;;;;;;
krassend;8,83;100,0;;;;;;
langoor;8,83;100,0;;;;;;
lidgeld;8,83;100,0;;;;;;
longen;8,83;100,0;;;;;;
mopperkont;8,83;100,0;;;;;;
nalopen;8,83;100,0;;;;;;
noemer;8,83;100,0;;;;;;
olieverf;8,83;100,0;;;;;;
onderbuik;8,83;100,0;;;;;;
oneffen;8,83;100,0;;;;;;
ongehuwd;8,83;100,0;;;;;;
opslokken;8,83;100,0;;;;;;
parkeerterrein;8,83;100,0;;;;;;
picobello;8,83;100,0;;;;;;
planteneter;8,83;100,0;;;;;;
raadselachtig;8,83;100,0;;;;;;
rimpelig;8,83;100,0;;;;;;
rondneuzen;8,83;100,0;;;;;;
rotklus;8,83;100,0;;;;;;
rouwen;8,83;100,0;;;;;;
schaapherder;8,83;100,0;;;;;;
schelpdier;8,83;100,0;;;;;;
schepsel;8,83;100,0;;;;;;
schoolgeld;8,83;100,0;;;;;;
schuilhouden;8,83;100,0;;;;;;
slachter;8,83;100,0;;;;;;
slapjanus;8,83;100,0;;;;;;
snoezig;8,83;100,0;;;;;;
speelvogel;8,83;100,0;;;;;;
sprokkelen;8,83;100,0;;;;;;
staartbeen;8,83;100,0;;;;;;
stadspoort;8,83;100,0;;;;;;
tackle;8,83;100,0;;;;;;
telefonist;8,83;100,0;;;;;;
thuishoren;8,83;100,0;;;;;;
toedoen;8,83;100,0;;;;;;
trompettist;8,83;100,0;;;;;;
uiteenvallen;8,83;100,0;;;;;;
uitvegen;8,83;100,0;;;;;;
verbinding;8,83;100,0;;;;;;
verbruiken;8,83;100,0;;;;;;
verdraaien;8,83;100,0;;;;;;
vereniging;8,83;100,0;;;;;;
verkeersdrempel;8,83;100,0;;;;;;
vermomming;8,83;100,0;;;;;;
vernieuwen;8,83;100,0;;;;;;
verrijzenis;8,83;100,0;;;;;;
verticaal;8,83;100,0;;;;;;
volop;8,83;100,0;;;;;;
waaraan;8,83;100,0;;;;;;
wandelkaart;8,83;100,0;;;;;;
wegdommelen;8,83;100,0;;;;;;
woonomgeving;8,83;100,0;;;;;;
zangnoot;8,83;100,0;;;;;;
zeeslag;8,83;100,0;;;;;;
zekerheid;8,83;100,0;;;;;;
zesdelig;8,83;100,0;;;;;;
ziekenzaal;8,83;100,0;;;;;;
stoefer;8,83;90,0;;;;;;
schetteren;8,83;66,7;;;;;;
drum;8,83;100,0;;;;;;
lood;8,83;100,0;;;;;;
zege;8,84;99,1;;;;;;
frons;8,84;98,8;;;;;;
bewondering;8,84;100,0;;;;;;
biecht;8,84;100,0;;;;;;
dichten;8,84;100,0;;;;;;
doelwit;8,84;100,0;;;;;;
doorzetten;8,84;100,0;;;;;;
foutloos;8,84;100,0;;;;;;
heersen;8,84;100,0;;;;;;
onaangenaam;8,84;100,0;;;;;;
ongeduldig;8,84;100,0;;;;;;
parade;8,84;100,0;;;;;;
stoten;8,84;100,0;;;;;;
truffel;8,84;100,0;;;;;;
vrijgevig;8,84;100,0;;;;;;
vergeetachtig;8,84;99,6;;;;;;
flat;8,84;99,9;;;;;;
binnendoor;8,84;95,0;;;;;;
hoogspringer;8,84;95,0;;;;;;
inklappen;8,84;95,0;;;;;;
ongemerkt;8,84;95,0;;;;;;
stiefvader;8,84;100,0;;;;;;
kettingzaag;8,84;100,0;;;;;;
schubbe;8,85;65,0;;;;;;
korf;8,85;99,8;;;;;;
afwasbaar;8,85;100,0;;;;;;
automobilist;8,85;100,0;;;;;;
balzaal;8,85;100,0;;;;;;
begrip;8,85;100,0;;;;;;
behalen;8,85;100,0;;;;;;
bespieden;8,85;100,0;;;;;;
centrale;8,85;100,0;;;;;;
controleur;8,85;100,0;;;;;;
doodgraag;8,85;100,0;;;;;;
doorhebben;8,85;100,0;;;;;;
duivels;8,85;100,0;;;;;;
fabrikant;8,85;100,0;;;;;;
fondue;8,85;100,0;;;;;;
fratsen;8,85;100,0;;;;;;
gespleten;8,85;100,0;;;;;;
invallen;8,85;100,0;;;;;;
korenveld;8,85;100,0;;;;;;
mishandelen;8,85;100,0;;;;;;
ongedaan;8,85;100,0;;;;;;
ontzettend;8,85;100,0;;;;;;
ovaal;8,85;100,0;;;;;;
rijstrook;8,85;100,0;;;;;;
ruimtewezen;8,85;100,0;;;;;;
selderij;8,85;100,0;;;;;;
simpelweg;8,85;100,0;;;;;;
stapvoets;8,85;100,0;;;;;;
strafschop;8,85;100,0;;;;;;
stuntman;8,85;100,0;;;;;;
toegedaan;8,85;100,0;;;;;;
uiteraard;8,85;100,0;;;;;;
uitlokken;8,85;100,0;;;;;;
uitverkopen;8,85;100,0;;;;;;
vermengen;8,85;100,0;;;;;;
verslappen;8,85;100,0;;;;;;
verwarren;8,85;100,0;;;;;;
voorstelling;8,85;100,0;;;;;;
vulsel;8,85;100,0;;;;;;
wetten;8,85;100,0;;;;;;
windstoot;8,85;100,0;;;;;;
wiskundig;8,85;100,0;;;;;;
loofboom;8,85;97,9;;;;;;
ernst;8,85;99,4;;;;;;
dreef;8,86;99,6;;;;;;
bikkelen;8,86;77,8;;;;;;
ligger;8,86;77,8;;;;;;
pee;8,86;77,8;;;;;;
slieren;8,86;77,8;;;;;;
stuiter;8,86;77,8;;;;;;
heining;8,86;38,9;;;;;;
ho;8,86;38,9;;;;;;
reebok;8,86;100,0;;;;;;
kleurloos;8,86;100,0;;;;;;
kater;8,86;100,0;;;;;;
heide;8,86;99,3;;;;;;
bros;8,86;99,1;;;;;;
bouwvakker;8,87;100,0;;;;;;
leeuwenbek;8,87;100,0;;;;;;
ontvoering;8,87;100,0;;;;;;
krommen;8,87;99,1;;;;;;
lok;8,87;98,7;;;;;;
grendel;8,87;98,2;;;;;;
zijl;8,87;61,3;;;;;;
nemer;8,87;85,2;;;;;;
tuit;8,87;88,7;;;;;;
bruut;8,87;100,0;;;;;;
sperzieboon;8,88;88,9;;;;;;
supporteren;8,88;88,9;;;;;;
verstillen;8,88;88,9;;;;;;
zwemvogel;8,88;88,9;;;;;;
jengelen;8,88;44,4;;;;;;
lievig;8,88;44,4;;;;;;
groenblauw;8,88;100,0;;;;;;
gasje;8,88;64,5;;;;;;
orkaan;8,88;100,0;;;;;;
gebod;8,88;99,1;;;;;;
dubbeltje;8,88;91,0;;;;;;
achterlangs;8,88;94,4;;;;;;
afschrikken;8,88;94,4;;;;;;
beleven;8,88;94,4;;;;;;
blijver;8,88;94,4;;;;;;
botervloot;8,88;94,4;;;;;;
eeuwigheid;8,88;94,4;;;;;;
kleppen;8,88;94,4;;;;;;
muziekkamer;8,88;94,4;;;;;;
peuzelen;8,88;94,4;;;;;;
verschrikken;8,88;94,4;;;;;;
verstikken;8,88;94,4;;;;;;
werkplek;8,88;94,4;;;;;;
vonk;8,88;99,1;;;;;;
gewichtheffen;8,88;100,0;;;;;;
atletiek;8,88;100,0;;;;;;
aankoop;8,89;100,0;;;;;;
aanstaan;8,89;100,0;;;;;;
aanwijzing;8,89;100,0;;;;;;
achtbaan;8,89;100,0;;;;;;
achteringang;8,89;100,0;;;;;;
andermans;8,89;100,0;;;;;;
asfalt;8,89;100,0;;;;;;
automatisch;8,89;100,0;;;;;;
autopech;8,89;100,0;;;;;;
basisregel;8,89;100,0;;;;;;
bedienen;8,89;100,0;;;;;;
bedreigen;8,89;100,0;;;;;;
beledigen;8,89;100,0;;;;;;
belevenis;8,89;100,0;;;;;;
benzinetank;8,89;100,0;;;;;;
betaalmiddel;8,89;100,0;;;;;;
beterschap;8,89;100,0;;;;;;
bevrijder;8,89;100,0;;;;;;
bolhoed;8,89;100,0;;;;;;
briefkaart;8,89;100,0;;;;;;
buitenaards;8,89;100,0;;;;;;
duizeligheid;8,89;100,0;;;;;;
durver;8,89;100,0;;;;;;
eeuwigdurend;8,89;100,0;;;;;;
ervaring;8,89;100,0;;;;;;
gemeend;8,89;100,0;;;;;;
geroddel;8,89;100,0;;;;;;
golfer;8,89;100,0;;;;;;
halfzuster;8,89;100,0;;;;;;
heiligheid;8,89;100,0;;;;;;
heuvelachtig;8,89;100,0;;;;;;
honds;8,89;100,0;;;;;;
horlogemaker;8,89;100,0;;;;;;
horoscoop;8,89;100,0;;;;;;
huiseigenaar;8,89;100,0;;;;;;
huismus;8,89;100,0;;;;;;
indienen;8,89;100,0;;;;;;
inschrijven;8,89;100,0;;;;;;
inwoner;8,89;100,0;;;;;;
kamerplant;8,89;100,0;;;;;;
karaoke;8,89;100,0;;;;;;
kinderloos;8,89;100,0;;;;;;
kinderspel;8,89;100,0;;;;;;
knalfeest;8,89;100,0;;;;;;
kroonprins;8,89;100,0;;;;;;
lichamelijk;8,89;100,0;;;;;;
lijnen;8,89;100,0;;;;;;
liplezen;8,89;100,0;;;;;;
logeerkamer;8,89;100,0;;;;;;
losbreken;8,89;100,0;;;;;;
luiheid;8,89;100,0;;;;;;
luisteraar;8,89;100,0;;;;;;
mengelmoes;8,89;100,0;;;;;;
misdadig;8,89;100,0;;;;;;
morsdood;8,89;100,0;;;;;;
motorfiets;8,89;100,0;;;;;;
motorrijtuig;8,89;100,0;;;;;;
nagerecht;8,89;100,0;;;;;;
napraten;8,89;100,0;;;;;;
neerkomen;8,89;100,0;;;;;;
nieuwkomer;8,89;100,0;;;;;;
ommetje;8,89;100,0;;;;;;
onderdeel;8,89;100,0;;;;;;
onderling;8,89;100,0;;;;;;
ondersteunen;8,89;100,0;;;;;;
ongemanierd;8,89;100,0;;;;;;
onherkenbaar;8,89;100,0;;;;;;
ontroostbaar;8,89;100,0;;;;;;
optillen;8,89;100,0;;;;;;
paardenrace;8,89;100,0;;;;;;
priklimonade;8,89;100,0;;;;;;
riddertijd;8,89;100,0;;;;;;
rotding;8,89;100,0;;;;;;
rotsachtig;8,89;100,0;;;;;;
rugbybal;8,89;100,0;;;;;;
schaaldier;8,89;100,0;;;;;;
schoensmeer;8,89;100,0;;;;;;
schokkend;8,89;100,0;;;;;;
schooien;8,89;100,0;;;;;;
schrokken;8,89;100,0;;;;;;
situatie;8,89;100,0;;;;;;
slacht;8,89;100,0;;;;;;
slechtgezind;8,89;100,0;;;;;;
slenteren;8,89;100,0;;;;;;
springerig;8,89;100,0;;;;;;
staartdeling;8,89;100,0;;;;;;
standaard;8,89;100,0;;;;;;
stotteraar;8,89;100,0;;;;;;
strijkgoed;8,89;100,0;;;;;;
terugtocht;8,89;100,0;;;;;;
tevoorschijn;8,89;100,0;;;;;;
toesturen;8,89;100,0;;;;;;
tussenstop;8,89;100,0;;;;;;
twijfelend;8,89;100,0;;;;;;
uitkijkpost;8,89;100,0;;;;;;
vaderland;8,89;100,0;;;;;;
verdikking;8,89;100,0;;;;;;
vergaderzaal;8,89;100,0;;;;;;
verkenning;8,89;100,0;;;;;;
verouderen;8,89;100,0;;;;;;
vervangbaar;8,89;100,0;;;;;;
verwarrend;8,89;100,0;;;;;;
visite;8,89;100,0;;;;;;
voeteneinde;8,89;100,0;;;;;;
voorgoed;8,89;100,0;;;;;;
voorraadkast;8,89;100,0;;;;;;
waterbron;8,89;100,0;;;;;;
waterleiding;8,89;100,0;;;;;;
wazig;8,89;100,0;;;;;;
weddenschap;8,89;100,0;;;;;;
wegdrijven;8,89;100,0;;;;;;
werkkleding;8,89;100,0;;;;;;
windstreek;8,89;100,0;;;;;;
zeewier;8,89;100,0;;;;;;
zilveren;8,89;100,0;;;;;;
zopas;8,89;100,0;;;;;;
nummerbord;8,89;90,0;;;;;;
schrokop;8,89;90,0;;;;;;
zoeker;8,89;90,0;;;;;;
blauwblauw;8,89;50,0;;;;;;
hater;8,89;94,0;;;;;;
beul;8,89;99,8;;;;;;
krentenbrood;8,89;95,0;;;;;;
meezitten;8,89;95,0;;;;;;
rommelpot;8,89;95,0;;;;;;
tegensputteren;8,89;95,0;;;;;;
toog;8,90;94,4;;;;;;
farao;8,90;100,0;;;;;;
landkaart;8,90;100,0;;;;;;
afslaan;8,90;100,0;;;;;;
afwerking;8,90;100,0;;;;;;
beangstigen;8,90;100,0;;;;;;
beenbreuk;8,90;100,0;;;;;;
boekenclub;8,90;100,0;;;;;;
brandstapel;8,90;100,0;;;;;;
doordenkertje;8,90;100,0;;;;;;
etalagepop;8,90;100,0;;;;;;
gevreesd;8,90;100,0;;;;;;
grieperig;8,90;100,0;;;;;;
hersenschudding;8,90;100,0;;;;;;
hoofddeksel;8,90;100,0;;;;;;
levensecht;8,90;100,0;;;;;;
masseur;8,90;100,0;;;;;;
noodrem;8,90;100,0;;;;;;
omringen;8,90;100,0;;;;;;
probleemloos;8,90;100,0;;;;;;
rollenspel;8,90;100,0;;;;;;
ruggengraat;8,90;100,0;;;;;;
sprekend;8,90;100,0;;;;;;
tentoonstellen;8,90;100,0;;;;;;
tieners;8,90;100,0;;;;;;
twijfelaar;8,90;100,0;;;;;;
uitroep;8,90;100,0;;;;;;
uitvallen;8,90;100,0;;;;;;
uitvliegen;8,90;100,0;;;;;;
vechtsport;8,90;100,0;;;;;;
vergadering;8,90;100,0;;;;;;
vervanging;8,90;100,0;;;;;;
verwachting;8,90;100,0;;;;;;
accent;8,90;100,0;;;;;;
gewichtheffer;8,90;100,0;;;;;;
klacht;8,90;100,0;;;;;;
kweken;8,90;100,0;;;;;;
laf;8,90;100,0;;;;;;
misdadiger;8,90;100,0;;;;;;
mountainbike;8,90;100,0;;;;;;
