word;aoa;percentknown;;;;;;
man;4,44;100,0;;;;;;
jongens;4,44;100,0;;;;;;
koekjes;4,44;100,0;;;;;;
oren;4,44;100,0;;;;;;
speelplaats;4,44;100,0;;;;;;
deur;4,44;100,0;;;;;;
trap;4,45;100,0;;;;;;
bang;4,45;100,0;;;;;;
jaar;4,45;100,0;;;;;;
puzzel;4,46;100,0;;;;;;
tutter;4,46;72,2;;;;;;
dag;4,46;100,0;;;;;;
hoog;4,46;100,0;;;;;;
kijken;4,46;100,0;;;;;;
kruipen;4,46;100,0;;;;;;
vallen;4,46;100,0;;;;;;
willen;4,46;100,0;;;;;;
juf;4,46;99,6;;;;;;
patatjes;4,47;94,4;;;;;;
kleurboek;4,47;100,0;;;;;;
oei;4,47;95,0;;;;;;
banaan;4,48;100,0;;;;;;
oor;4,48;100,0;;;;;;
ballon;4,48;100,0;;;;;;
ei;4,49;100,0;;;;;;
regen;4,49;100,0;;;;;;
boot;4,50;100,0;;;;;;
jarig;4,50;100,0;;;;;;
prinses;4,50;100,0;;;;;;
vingers;4,50;100,0;;;;;;
zes;4,50;100,0;;;;;;
konijn;4,50;100,0;;;;;;
kous;4,50;100,0;;;;;;
knuffelbeer;4,51;100,0;;;;;;
ma;4,51;100,0;;;;;;
pang;4,52;96,3;;;;;;
lekker;4,53;100,0;;;;;;
veel;4,53;100,0;;;;;;
vis;4,53;100,0;;;;;;
muis;4,54;100,0;;;;;;
vork;4,54;100,0;;;;;;
wit;4,54;97,9;;;;;;
kousen;4,54;100,0;;;;;;
stil;4,54;100,0;;;;;;
hoofdje;4,55;100,0;;;;;;
katten;4,55;100,0;;;;;;
morsen;4,55;100,0;;;;;;
boek;4,55;100,0;;;;;;
jou;4,56;100,0;;;;;;
kleurpotlood;4,56;100,0;;;;;;
snottebel;4,56;100,0;;;;;;
zeven;4,56;100,0;;;;;;
tong;4,57;100,0;;;;;;
raam;4,58;100,0;;;;;;
doen;4,59;100,0;;;;;;
horen;4,59;100,0;;;;;;
ijs;4,59;100,0;;;;;;
lachen;4,59;100,0;;;;;;
moeten;4,59;100,0;;;;;;
nat;4,59;100,0;;;;;;
springen;4,59;100,0;;;;;;
vies;4,59;100,0;;;;;;
wakker;4,59;100,0;;;;;;
praten;4,59;99,6;;;;;;
schommel;4,59;100,0;;;;;;
kak;4,60;100,0;;;;;;
zakdoek;4,60;100,0;;;;;;
varken;4,60;100,0;;;;;;
winkeltje;4,60;100,0;;;;;;
nacht;4,60;100,0;;;;;;
tuin;4,60;100,0;;;;;;
vlees;4,61;100,0;;;;;;
daar;4,61;100,0;;;;;;
dat;4,61;100,0;;;;;;
handjeklap;4,61;100,0;;;;;;
soep;4,61;100,0;;;;;;
woord;4,61;100,0;;;;;;
muts;4,62;100,0;;;;;;
stap;4,63;100,0;;;;;;
tand;4,64;99,9;;;;;;
licht;4,64;100,0;;;;;;
poep;4,64;100,0;;;;;;
vlug;4,65;99,8;;;;;;
boos;4,65;100,0;;;;;;
kop;4,65;100,0;;;;;;
morgen;4,65;100,0;;;;;;
sok;4,65;100,0;;;;;;
spreken;4,65;100,0;;;;;;
sprookje;4,65;100,0;;;;;;
staan;4,65;100,0;;;;;;
stoppen;4,65;100,0;;;;;;
zacht;4,65;100,0;;;;;;
thuis;4,66;100,0;;;;;;
grond;4,66;99,9;;;;;;
bord;4,66;100,0;;;;;;
knie;4,66;100,0;;;;;;
plas;4,66;99,8;;;;;;
